Street,Address Range
GARIBALDI AVE,"11, 15, 18, 21, 25, 26, 29, 30, 32, 33, 35, 39, 40, 42, 44, 45, 49, 55, 56, 58, 59, 60, 62, 63, 66, 71, 75, 78, 83, 84, 86, 87, 92, 94, 95, 97, 99, 105, 109, 112, 113, 114, 116, 119, 122, 123, 127, 128, 131, 132, 135, 136, 139, 142, 146, 147, 149, 150, 151, 154, 157, 159, 161, 162, 164, 173, 174, 175, 183, 187, 180, 196, 220, 222, 239, 240, 242, 255, 257, 260, 263, 265, 266, 267, 269, 273, 277, 278, 282, 285, 287, 290, 294, 297, 298, 300, 303, 305, 306, 307, 309A, 309B, 310, 314, 315, 316, 320, 321, 323, 324, 325, 331, 336, 340, 341, 342, 345, 350, 351, 355 361, 365, 367, 372, 375, 376, 380, 381, 384, 387, 388, 391, 395, 396, 398, 404, 408, 410, "
VICTOR ST,"13, 19, 20, 34"
COLUMBIA AVE,"14, 16, 23, 34, 36, 38, 40, 200, 204, 208, 212, 216, 220, 230, 230A, 236, 240, 244, 248, 250, 252, 256, 258, 260, 262, 262A, 264, 339, 340, 341, 343, 345, "
SHORT ST,"1, 3, 4, 5, 6, 7, 8, 10, 14, 18, 22, "
WISSE ST,"1, 2, 3, 4, 6, 8, 9, 10, 12, 29, 33, 34, 37, "
W PLEASANTVIEW AVE,"353, 355, 357, 360, 376, 379, 380, "
PAULINE TERR,"2, 6"
KENNEDY DR,"10, 17, 21, 23, 29, 35, 41, 44, 45, 46, 47, 48, 50, 55, 56, 57, 59, 60, 61, 62, 68, 69, 73, 80, 88, 91, 95, 99, 115, 119, 123, 129, 131, 132, 133, 137, 139, 150, 152, 158, 165"
MONEY ST,"75, 77, 88"
SIDNEY ST,"11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 67, 69, 76, 80, 86, 89 "
MITCHELL ST,"5, 10, 14, 18, 19, 22, 23, 26, 27, 30, 33, 34, 35, 38, 39, 42, 43, 46, 47, 50, 51, 54, 56, 59, 62, 63, 64, 66, 67, 69, 71"
MACARTHUR AVE,"2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 57, 59, 61, 63, 65, 66, 67, 68, 69, 70, 71, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83"
ORCHARD CT,"2, 4, 6, 8, 10, 12"
CHARLES CT,"2, 4, 6, 8, 10, 12"
CHRISTOPHER CT,"2, 4, 6, 8, 10, 12"
EDWARD CT,"2, 4, 6, 8, 10, 12"
SAVOIE ST,"7, 8, 9, 10, 11, 12, 13, 14"
JAMES CT,"2, 4, 6, 8, 10, 12, 14"
CLARK CT,"2, 4, 6, 8, 9, 10, 11, 13"
AVENUE A,"9, 13, 17, 18, 21, 23, 24, 25, 26, 27, 28, 30, 33, 34, 35, 40, 41, 44, 45, 46, 47, 50, 52, 53, 54, 57, 58, 64, 65, 67, 68, 69, 71, 72, 74, 75, 76, 79, 83, 84, 88"
AVENUE B,"7, 9, 10, 15, 18, 21, 22, 25, 28, 29, 31, 35, 36, 37, 40, 41, 45, 47, 48, 49, 50, 51, 54, 56, 60, 65, 65A, 66, 70, 71, 72, 73, 74, 75, 80, 84, 85, 91, 92"
